Date,Close,Open,High,Low,Volume,Change
1994年9月,"3,843.19","3,913.10","3,992.64","3,820.31",29.47M,-1.79%
1994年10月,"3,908.12","3,843.20","3,949.84","3,747.97",31.82M,1.69%
1994年11月,"3,739.23","3,907.78","3,907.78","3,638.63",30.54M,-4.32%
1994年12月,"3,834.44","3,739.20","3,866.40","3,655.11",26.71M,2.55%
1995年1月,"3,843.86","3,834.40","3,936.72","3,817.26",31.18M,0.25%
1995年2月,"4,011.05","3,843.90","4,021.23","3,831.41",31.50M,4.35%
1995年3月,"4,157.69","4,011.10","4,198.84","3,945.69",32.04M,3.66%
1995年4月,"4,321.27","4,157.70","4,328.53","4,155.96",30.38M,3.93%
1995年5月,"4,465.14","4,321.30","4,465.14","4,301.56",32.70M,3.33%
1995年6月,"4,556.10","4,465.10","4,593.10","4,406.69",30.16M,2.04%
1995年7月,"4,708.47","4,556.10","4,747.21","4,551.25",34.74M,3.34%
1995年8月,"4,610.56","4,708.50","4,754.96","4,570.85",27.96M,-2.08%
1995年9月,"4,789.08","4,610.20","4,816.54","4,607.03",36.81M,3.87%
1995年10月,"4,755.48","4,789.80","4,816.90","4,659.74",32.48M,-0.70%
1995年11月,"5,074.49","4,753.70","5,118.93","4,744.64",29.76M,6.71%
1995年12月,"5,117.12","5,075.60","5,235.62","5,051.73",31.13M,0.84%
1996年1月,"5,395.30","5,115.70","5,408.67","5,014.52",40.72M,5.44%
1996年2月,"5,485.62","5,394.90","5,659.40","5,348.34",40.45M,1.67%
1996年3月,"5,587.14","5,488.20","5,709.97","5,424.20",41.10M,1.85%
1996年4月,"5,569.08","5,588.60","5,697.69","5,415.53",37.38M,-0.32%
1996年5月,"5,643.18","5,567.60","5,796.10","5,342.20",37.68M,1.33%
1996年6月,"5,654.63","5,643.90","5,742.54","5,580.38",33.98M,0.20%
1996年7月,"5,528.91","5,654.60","5,733.31","5,182.32",37.10M,-2.22%
1996年8月,"5,616.21","5,528.90","5,739.02","5,524.10",29.00M,1.58%
1996年9月,"5,882.17","5,611.80","5,929.89","5,561.46",33.86M,4.74%
1996年10月,"6,029.38","5,878.40","6,133.73","5,861.67",34.93M,2.50%
1996年11月,"6,521.70","6,027.10","6,589.53","5,998.82",37.69M,8.17%
1996年12月,"6,448.27","6,520.60","6,587.05","6,236.05",38.72M,-1.13%
1997年1月,"6,813.09","6,447.50","6,906.60","6,352.83",47.52M,5.66%
1997年2月,"6,877.74","6,810.80","7,073.62","6,710.72",42.50M,0.95%
1997年3月,"6,583.48","6,874.30","7,112.10","6,561.20",51.28M,-4.28%
1997年4月,"7,009.00","6,583.50","7,057.55","6,356.78",52.70M,6.46%
1997年5月,"7,331.00","7,008.99","7,394.95","6,913.47",52.27M,4.59%
1997年6月,"7,672.80","7,331.00","7,834.06","7,253.78",54.08M,4.66%
1997年7月,"8,222.60","7,678.00","8,282.77","7,667.36",59.70M,7.17%
1997年8月,"7,622.40","8,222.80","8,299.49","7,606.86",55.48M,-7.30%
1997年9月,"7,945.30","7,631.70","8,035.63","7,580.85",60.11M,4.24%
1997年10月,"7,442.10","7,948.50","8,184.70","6,971.07",72.84M,-6.33%
1997年11月,"7,823.10","7,445.80","7,881.07","7,349.99",57.28M,5.12%
1997年12月,"7,908.30","7,825.12","8,166.29","7,576.93",54.22M,1.09%
1998年1月,"7,906.50","7,910.20","8,035.54","7,443.41",68.90M,-0.02%
1998年2月,"8,545.72","7,909.99","8,566.89","7,909.99",774.50K,8.08%
1998年3月,"8,799.81","8,544.47","8,959.24","8,405.72",56.98M,2.97%
1998年4月,"9,063.37","8,801.56","9,213.33","8,748.74",68.89M,3.00%
1998年5月,"8,899.95","9,066.61","9,261.91","8,788.10",56.23M,-1.80%
1998年6月,"8,952.02","8,900.95","9,104.72","8,569.88",61.32M,0.59%
1998年7月,"8,883.29","8,958.99","9,367.84","8,816.09",67.69M,-0.77%
1998年8月,"7,539.07","8,883.29","8,886.12","7,539.07",83.79M,-15.13%
1998年9月,"7,842.62","7,545.76","8,182.47","7,400.30",94.51M,4.03%
1998年10月,"8,592.10","7,841.33","8,659.81","7,467.49",90.33M,9.56%
1998年11月,"9,116.55","8,595.70","9,380.20","8,595.70",73.06M,6.10%
1998年12月,"9,181.43","9,116.55","9,334.88","8,676.03",70.95M,0.71%
1999年1月,"9,358.83","9,184.01","9,647.96","9,063.26",96.45M,1.93%
1999年2月,"9,306.58","9,359.60","9,611.33","9,099.04",85.61M,-0.56%
1999年3月,"9,786.16","9,307.39","10,085.31","9,211.23",91.51M,5.15%
1999年4月,"10,789.04","9,786.44","10,961.71","9,765.63",105.64M,10.25%
1999年5月,"10,559.74","10,789.04","11,130.67","10,434.26",95.77M,-2.13%
1999年6月,"10,970.80","10,561.01","11,003.41","10,409.14",86.02M,3.89%
1999年7月,"10,655.15","10,966.05","11,252.27","10,647.86",83.56M,-2.88%
1999年8月,"10,829.28","10,654.83","11,365.93","10,549.08",89.01M,1.63%
1999年9月,"10,336.95","10,828.44","11,142.41","10,081.13",88.58M,-4.55%
1999年10月,"10,729.86","10,335.69","10,790.02","9,976.02",111.41M,3.80%
1999年11月,"10,877.81","10,730.78","11,112.77","10,536.27",162.30M,1.38%
1999年12月,"11,497.12","10,876.47","11,568.77","10,859.65",145.90M,5.69%
2000年1月,"10,940.53","11,501.85","11,750.28","10,701.64",202.32M,-4.84%
2000年2月,"10,128.31","10,937.74","11,118.93","9,836.06",192.62M,-7.42%
2000年3月,"10,921.92","10,128.11","11,234.65","9,731.81",214.53M,7.84%
2000年4月,"10,733.91","10,863.28","11,425.45","10,201.53",222.28M,-1.72%
2000年5月,"10,522.33","10,749.42","10,971.24","10,258.81",180.90M,-1.97%
2000年6月,"10,447.89","10,532.27","10,863.00","10,335.46",183.98M,-0.71%
2000年7月,"10,521.98","10,450.36","10,874.63","10,393.09",171.24M,0.71%
2000年8月,"11,215.10","10,523.81","11,319.06","10,516.76",165.39M,6.59%
2000年9月,"10,650.92","11,219.54","11,401.19","10,567.32",243.81M,-5.03%
2000年10月,"10,971.14","10,659.06","10,995.41","9,654.64",297.12M,3.01%
2000年11月,"10,414.49","10,966.21","11,006.50","10,292.39",240.12M,-5.07%
2000年12月,"10,787.99","10,416.76","10,917.68","10,299.21",270.67M,3.59%
2001年1月,"10,887.36","10,790.92","11,028.00","10,468.04",290.79M,0.92%
2001年2月,"10,495.28","10,884.82","11,035.14","10,294.01",232.54M,-3.60%
2001年3月,"9,878.78","10,493.25","10,859.50","9,106.54",287.98M,-5.87%
2001年4月,"10,734.97","9,877.16","10,906.41","9,375.72",272.38M,8.67%
2001年5月,"10,911.94","10,734.05","11,350.05","10,673.22",214.03M,1.65%
2001年6月,"10,502.40","10,913.57","11,196.53","10,394.72",249.67M,-3.75%
2001年7月,"10,522.81","10,504.95","10,679.12","10,120.89",230.02M,0.19%
2001年8月,"9,949.75","10,527.38","10,609.65","9,869.14",185.20M,-5.45%
2001年9月,"8,847.56","9,946.98","10,182.38","8,062.34",393.05M,-11.08%
2001年10月,"9,075.14","8,845.97","9,598.17","8,732.14",259.44M,2.57%
2001年11月,"9,851.56","9,087.45","9,992.79","9,014.46",235.38M,8.56%
2001年12月,"10,021.57","9,848.93","10,184.45","9,703.90",222.48M,1.73%
2002年1月,"9,920.00","10,021.71","10,300.15","9,529.46",248.94M,-1.01%
2002年2月,"10,106.13","9,923.04","10,255.24","9,580.32",259.03M,1.88%
2002年3月,"10,403.94","10,111.04","10,673.10","10,111.04",238.46M,2.95%
2002年4月,"9,946.22","10,402.07","10,402.07","9,811.57",244.69M,-4.40%
2002年5月,"9,925.25","9,944.90","10,353.43","9,802.23",228.30M,-0.21%
2002年6月,"9,243.26","9,923.94","9,986.49","8,926.57",305.77M,-6.87%
2002年7月,"8,736.59","9,239.25","9,410.38","7,532.66",365.58M,-5.48%
2002年8月,"8,663.50","8,732.58","9,077.01","8,030.82",262.20M,-0.84%
2002年9月,"7,591.93","8,659.27","8,726.90","7,460.78",298.76M,-12.37%
2002年10月,"8,397.03","7,593.04","8,558.63","7,197.49",338.71M,10.60%
2002年11月,"8,896.09","8,395.64","8,950.33","8,298.68",276.00M,5.94%
2002年12月,"8,341.63","8,902.95","9,043.37","8,242.91",228.46M,-6.23%
2003年1月,"8,053.81","8,342.38","8,869.29","7,917.16",273.05M,-3.45%
2003年2月,"7,891.08","8,053.74","8,152.53","7,628.99",245.44M,-2.02%
2003年3月,"7,992.13","7,890.24","8,522.18","7,416.64",281.79M,1.28%
2003年4月,"8,480.09","7,992.83","8,559.77","7,979.69",256.26M,6.11%
2003年5月,"8,850.26","8,478.48","8,868.33","8,340.23",234.92M,4.37%
2003年6月,"8,985.44","8,851.45","9,352.77","8,851.45",248.18M,1.53%
2003年7月,"9,233.80","8,983.66","9,361.40","8,871.20",234.33M,2.76%
2003年8月,"9,415.82","9,232.68","9,499.97","8,997.11",3.81B,1.97%
2003年9月,"9,275.06","9,416.67","9,686.08","9,230.47",4.39B,-1.49%
2003年10月,"9,801.12","9,276.80","9,850.01","9,276.80",4.79B,5.67%
2003年11月,"9,782.46","9,802.46","9,903.57","9,585.50",3.55B,-0.19%
2003年12月,"10,453.92","9,785.35","10,462.44","9,785.35",4.17B,6.86%
2004年1月,"10,488.07","10,452.74","10,705.18","10,367.41",4.38B,0.33%
2004年2月,"10,583.92","10,487.78","10,753.63","10,434.67",3.82B,0.91%
2004年3月,"10,357.70","10,582.25","10,695.55","10,007.49",4.97B,-2.14%
2004年4月,"10,225.57","10,357.52","10,570.81","10,219.18",4.53B,-1.28%
2004年5月,"10,188.45","10,227.27","10,386.32","9,852.19",4.02B,-0.36%
2004年6月,"10,435.48","10,187.18","10,487.54","10,134.86",4.11B,2.42%
2004年7月,"10,139.71","10,434.00","10,448.09","9,913.92",4.45B,-2.83%
2004年8月,"10,173.92","10,138.45","10,211.25","9,783.91",3.72B,0.34%
2004年9月,"10,080.27","10,170.12","10,363.36","9,977.92",4.63B,-0.92%
2004年10月,"10,027.47","10,082.04","10,270.37","9,708.40",5.29B,-0.52%
2004年11月,"10,428.02","10,028.73","10,602.85","10,010.15",5.61B,3.99%
2004年12月,"10,783.01","10,425.80","10,868.07","10,418.63",5.74B,3.40%
2005年1月,"10,489.94","10,783.75","10,867.39","10,368.61",5.30B,-2.72%
2005年2月,"10,766.23","10,489.72","10,853.43","10,489.64",5.04B,2.63%
2005年3月,"10,503.76","10,769.04","10,984.46","10,396.24",5.82B,-2.44%
2005年4月,"10,192.51","10,504.57","10,568.93","10,000.46",5.85B,-2.96%
2005年5月,"10,467.48","10,192.00","10,560.81","10,075.55",4.84B,2.70%
2005年6月,"10,274.97","10,462.86","10,656.29","10,253.49",5.03B,-1.84%
2005年7月,"10,640.91","10,273.59","10,717.73","10,175.40",4.82B,3.56%
2005年8月,"10,481.60","10,641.78","10,719.41","10,349.37",5.08B,-1.50%
2005年9月,"10,568.70","10,481.44","10,701.81","10,350.96",5.22B,0.83%
2005年10月,"10,440.07","10,569.50","10,608.56","10,156.46",5.83B,-1.22%
2005年11月,"10,805.87","10,437.51","10,959.79","10,388.76",5.39B,3.50%
2005年12月,"10,717.50","10,806.03","10,940.34","10,709.42",5.22B,-0.82%
2006年1月,"10,864.86","10,718.30","11,047.76","10,661.15",6.43B,1.37%
2006年2月,"10,993.41","10,862.14","11,159.18","10,737.67",5.76B,1.18%
2006年3月,"11,109.32","10,993.25","11,334.96","10,922.73",6.68B,1.05%
2006年4月,"11,367.14","11,113.00","11,417.66","11,039.12",5.58B,2.32%
2006年5月,"11,168.31","11,367.78","11,670.19","11,030.47",7.30B,-1.75%
2006年6月,"11,150.22","11,169.03","11,285.82","10,698.85",6.92B,-0.16%
2006年7月,"11,185.68","11,149.34","11,257.08","10,683.32",5.55B,0.32%
2006年8月,"11,381.15","11,184.80","11,407.08","11,042.64",4.62B,1.75%
2006年9月,"11,679.07","11,382.75","11,741.99","11,323.84",4.49B,2.62%
2006年10月,"12,080.73","11,678.99","12,167.02","11,653.06",5.54B,3.44%
2006年11月,"12,221.93","12,080.25","12,361.00","11,965.31",4.72B,1.17%
2006年12月,"12,463.15","12,220.97","12,529.88","12,089.98",4.34B,1.97%
2007年1月,"12,621.69","12,459.54","12,657.02","12,337.37",4.99B,1.27%
2007年2月,"12,268.63","12,617.20","12,795.93","12,086.06",4.35B,-2.80%
2007年3月,"12,354.35","12,265.59","12,511.05","11,939.61",5.63B,0.70%
2007年4月,"13,062.91","12,354.52","13,162.06","12,324.28",4.82B,5.74%
2007年5月,"13,627.64","13,062.75","13,673.07","13,041.30",4.99B,4.32%
2007年6月,"13,408.62","13,628.69","13,692.00","13,251.53",5.22B,-1.61%
2007年7月,"13,211.99","13,409.60","14,021.95","13,199.79",5.51B,-1.47%
2007年8月,"13,357.74","13,211.09","13,695.82","12,517.94",6.20B,1.10%
2007年9月,"13,895.63","13,358.39","13,924.81","13,021.93",4.33B,4.03%
2007年10月,"13,930.01","13,895.71","14,198.10","13,407.49",5.01B,0.25%
2007年11月,"13,371.72","13,924.16","13,924.16","12,724.09",5.98B,-4.01%
2007年12月,"13,264.82","13,368.22","13,780.11","13,092.00",4.31B,-0.80%
2008年1月,"12,650.36","13,261.82","13,279.54","11,634.82",7.46B,-4.63%
2008年2月,"12,266.39","12,638.17","12,767.74","12,069.47",5.72B,-3.04%
2008年3月,"12,262.89","12,264.36","12,622.07","11,731.60",6.23B,-0.03%
2008年4月,"12,820.13","12,266.64","13,010.00","12,266.47",5.05B,4.54%
2008年5月,"12,638.32","12,818.34","13,136.69","12,442.59",4.53B,-1.42%
2008年6月,"11,350.01","12,637.67","12,638.08","11,287.56",5.31B,-10.19%
2008年7月,"11,378.02","11,344.64","11,698.17","10,827.71",5.52B,0.25%
2008年8月,"11,543.55","11,379.89","11,867.11","11,221.53",3.58B,1.45%
