Date,Close,Open,High,Low,Volume,Change
2008年6月,"9,370.78","11,999.95","12,160.94","8,888.78",8.56B,-22.22%
2008年7月,"9,470.33","9,397.32","10,472.61","8,922.58",13.70B,1.06%
2008年8月,"8,004.24","9,420.72","9,638.90","7,700.96",8.76B,-15.48%
2008年9月,"7,559.27","7,954.01","7,954.01","6,290.01",9.91B,-5.56%
2008年10月,"5,839.33","7,406.02","7,406.02","5,577.23",11.84B,-22.75%
2008年11月,"6,658.51","5,794.17","6,947.12","5,598.21",17.53B,14.03%
2008年12月,"6,485.51","6,634.60","7,585.16","6,460.70",19.25B,-2.60%
2009年1月,"7,015.24","6,557.42","7,103.83","6,514.49",13.80B,8.17%
2009年2月,"7,608.22","7,073.87","8,820.67","6,995.84",33.59B,8.45%
2009年3月,"8,981.95","7,511.66","9,115.04","7,495.82",27.83B,18.06%
2009年4月,"9,502.52","9,032.40","9,793.64","8,816.08",28.74B,5.80%
2009年5月,"10,127.92","9,567.63","10,497.17","9,562.95",22.35B,6.58%
2009年6月,"11,566.61","10,267.74","11,672.70","10,267.74",26.53B,14.21%
2009年7月,"13,670.72","11,529.54","13,881.14","11,504.75",32.96B,18.19%
2009年8月,"10,585.08","13,735.08","13,943.44","10,561.74",25.76B,-22.57%
2009年9月,"11,206.85","10,463.04","12,530.07","10,387.42",22.18B,5.87%
2009年10月,"12,297.16","11,499.70","12,941.38","11,452.33",14.83B,9.73%
2009年11月,"13,486.77","12,016.61","14,032.60","11,957.58",24.17B,9.67%
2009年12月,"13,699.97","13,474.86","14,096.87","12,635.68",20.02B,1.58%
2010年1月,"12,137.20","13,766.10","13,782.81","11,903.99",18.73B,-11.41%
2010年2月,"12,436.66","12,125.51","12,527.02","11,714.16",8.76B,2.47%
2010年3月,"12,494.35","12,480.81","12,720.36","11,835.62",13.15B,0.46%
2010年4月,"11,162.54","12,512.41","12,849.71","10,974.15",17.89B,-10.66%
2010年5月,"10,204.17","10,959.16","11,139.16","9,627.42",14.49B,-8.59%
2010年6月,"9,386.94","10,123.67","10,407.38","9,335.57",10.10B,-8.01%
2010年7月,"10,785.35","9,376.08","10,899.43","8,945.20",14.99B,14.90%
2010年8月,"11,338.71","10,789.07","11,424.08","10,613.28",18.85B,5.13%
2010年9月,"11,468.54","11,369.39","11,759.01","11,060.66",17.85B,1.15%
2010年10月,"13,367.24","11,594.92","13,863.98","11,578.12",30.81B,16.56%
2010年11月,"12,336.29","13,385.25","13,936.88","11,849.90",29.83B,-7.71%
2010年12月,"12,458.55","12,301.24","12,987.70","11,963.72",20.09B,0.99%
2011年1月,"11,994.68","12,578.45","12,790.93","11,377.34",15.46B,-3.72%
2011年2月,"12,902.43","12,044.41","12,936.74","11,764.23",14.67B,7.57%
2011年3月,"12,562.90","12,911.07","13,233.02","12,447.70",22.91B,-2.63%
2011年4月,"12,312.99","12,559.77","13,142.43","12,138.85",22.34B,-1.99%
2011年5月,"11,665.14","12,314.69","12,423.46","11,405.06",11.89B,-5.26%
2011年6月,"12,110.93","11,648.86","12,157.56","11,288.62",12.08B,3.82%
2011年7月,"11,990.43","12,148.97","12,548.98","11,885.90",16.15B,-0.99%
2011年8月,"11,397.48","11,975.27","12,074.94","10,926.47",13.66B,-4.95%
2011年9月,"10,292.33","11,425.11","11,491.35","10,224.73",9.17B,-9.70%
2011年10月,"10,480.91","10,315.96","10,637.10","9,653.51",10.25B,1.83%
2011年11月,"9,693.39","10,389.02","10,791.39","9,626.76",13.20B,-7.51%
2011年12月,"8,918.82","9,976.52","10,102.35","8,555.12",10.53B,-7.99%
2012年1月,"9,303.65","8,980.76","9,503.37","8,486.58",10.93B,4.31%
2012年2月,"10,054.84","9,277.79","10,333.92","9,173.07",16.56B,8.07%
2012年3月,"9,410.26","10,011.12","10,529.00","9,352.17",16.84B,-6.41%
2012年4月,"10,180.39","9,410.97","10,258.57","9,388.78",12.68B,8.18%
2012年5月,"10,141.41","10,319.48","10,616.28","9,755.59",16.74B,-0.38%
2012年6月,"9,500.32","10,142.12","10,262.05","9,351.80",10.95B,-6.32%
2012年7月,"9,059.22","9,575.09","9,853.73","9,033.92",13.71B,-4.64%
2012年8月,"8,210.99","9,047.59","9,344.09","8,132.36",12.54B,-9.36%
2012年9月,"8,679.22","8,220.31","8,865.65","8,095.52",13.88B,5.70%
2012年10月,"8,469.80","8,677.99","8,861.04","8,339.66",9.73B,-2.41%
2012年11月,"7,903.25","8,473.03","8,739.83","7,786.84",8.82B,-6.69%
2012年12月,"9,116.48","7,903.25","9,119.20","7,660.45",19.37B,15.35%
2013年1月,"9,667.67","9,204.11","9,804.73","8,976.02",22.01B,6.05%
2013年2月,"9,641.44","9,648.92","10,057.97","9,193.93",16.28B,-0.27%
2013年3月,"8,889.77","9,630.87","9,679.44","8,879.29",18.56B,-7.80%
2013年4月,"8,691.39","8,901.64","9,142.90","8,645.18",12.69B,-2.23%
2013年5月,"9,257.95","8,643.90","9,511.18","8,597.71",17.61B,6.52%
2013年6月,"7,694.47","9,259.48","9,345.66","7,045.60",14.59B,-16.89%
2013年7月,"7,765.40","7,649.30","8,281.55","7,544.77",29.40B,0.92%
2013年8月,"8,202.48","7,819.45","8,476.05","7,789.93",29.14B,5.63%
2013年9月,"8,514.57","8,214.94","8,766.70","8,148.17",29.72B,3.80%
2013年10月,"8,444.41","8,505.11","8,815.75","8,214.54",27.93B,-0.82%
2013年11月,"8,542.61","8,433.76","8,630.38","8,054.96",23.25B,1.16%
2013年12月,"8,121.79","8,461.49","8,648.01","7,887.37",21.05B,-4.93%
2014年1月,"7,572.63","8,083.77","8,124.56","7,477.78",20.13B,-6.76%
2014年2月,"7,365.93","7,515.09","7,997.02","7,174.33",25.11B,-2.73%
2014年3月,"7,189.58","7,349.95","7,410.66","6,959.25",23.63B,-2.39%
2014年4月,"7,312.86","7,184.07","7,618.57","7,177.85",19.93B,1.71%
2014年5月,"7,364.83","7,289.24","7,432.35","7,075.32",16.90B,0.71%
2014年6月,"7,343.27","7,365.61","7,433.54","7,134.53",16.07B,-0.29%
2014年7月,"7,956.91","7,340.59","7,957.46","7,146.45",29.06B,8.36%
2014年8月,"7,841.70","7,919.78","8,074.42","7,735.68",33.27B,-1.45%
2014年9月,"8,080.35","7,852.91","8,251.06","7,852.87",38.47B,3.04%
2014年10月,"8,225.61","8,134.37","8,260.23","7,803.46",36.31B,1.80%
2014年11月,"9,002.23","8,245.03","9,010.17","8,137.42",51.01B,9.44%
2014年12月,"11,014.62","9,029.64","11,050.85","9,027.30",104.68B,22.35%
2015年1月,"11,150.69","11,150.98","11,749.14","10,634.62",61.78B,1.24%
2015年2月,"11,757.68","10,952.14","11,819.42","10,715.43",36.69B,5.44%
2015年3月,"13,160.66","11,869.96","13,538.29","11,169.05",85.93B,11.93%
2015年4月,"14,818.64","13,187.42","15,009.73","13,142.40",121.58B,12.60%
2015年5月,"16,100.45","14,846.48","17,153.80","14,027.60",256.76B,8.65%
2015年6月,"14,337.97","16,247.39","18,211.76","12,723.16",447.89B,-10.95%
2015年7月,"12,374.25","14,185.10","14,696.98","10,850.38",419.74B,-13.70%
2015年8月,"10,549.16","12,178.57","13,652.54","9,713.99",321.06B,-14.75%
2015年9月,"9,988.25","10,388.50","10,702.18","9,259.65",232.73B,-5.32%
2015年10月,"11,546.05","10,332.24","11,834.07","10,265.00",275.69B,15.60%
2015年11月,"12,037.86","11,306.20","12,970.47","11,200.60",367.02B,4.26%
2015年12月,"12,664.89","12,022.83","13,187.05","11,830.99",288.72B,5.21%
2016年1月,"9,418.20","12,650.72","12,659.41","8,986.52",217.02B,-25.64%
2016年2月,"9,097.36","9,389.62","10,397.52","9,000.89",159.90B,-3.41%
2016年3月,"10,455.37","9,116.56","10,552.58","9,011.51",267.98B,14.93%
2016年4月,"10,141.54","10,410.68","10,810.41","9,976.05",208.24B,-3.00%
2016年5月,"10,159.93","10,144.15","10,501.43","9,544.12",170.77B,0.18%
2016年6月,"10,489.99","10,184.23","10,527.69","9,779.11",210.33B,3.25%
2016年7月,"10,329.43","10,506.22","10,890.02","10,262.30",245.03B,-1.53%
2016年8月,"10,757.88","10,289.89","10,946.74","10,086.65",219.74B,4.15%
2016年9月,"10,567.58","10,759.76","10,903.64","10,352.02",146.30B,-1.77%
2016年10月,"10,704.30","10,612.21","10,871.66","10,584.70",129.07B,1.29%
2016年11月,"11,012.19","10,714.82","11,124.81","10,575.16",213.52B,2.88%
2016年12月,"10,177.14","11,037.11","11,090.93","10,062.37",158.73B,-7.58%
