Date,Close,Open,High,Low,Volume,Change
2015年11月,"7,935.25","8,054.55","8,116.10","7,714.15",3.16B,-1.62%
2015年12月,"7,946.35","7,958.15","7,979.30","7,551.05",3.12B,0.14%
2016年1月,"7,563.55","7,938.45","7,972.55","7,241.50",3.96B,-4.82%
2016年2月,"6,987.05","7,589.50","7,600.45","6,825.80",5.33B,-7.62%
2016年3月,"7,738.40","7,038.25","7,777.60","7,035.10",4.96B,10.75%
2016年4月,"7,849.80","7,718.05","7,992.00","7,516.85",3.65B,1.44%
2016年5月,"8,160.10","7,822.70","8,213.60","7,678.35",4.50B,3.95%
2016年6月,"8,287.75","8,179.20","8,308.15","7,927.05",4.32B,1.56%
2016年7月,"8,638.50","8,313.05","8,674.70","8,287.55",3.42B,4.23%
2016年8月,"8,786.20","8,654.30","8,819.20","8,518.15",4.22B,1.71%
2016年9月,"8,611.15","8,793.60","8,968.70","8,555.20",4.02B,-1.99%
2016年10月,"8,625.70","8,666.15","8,806.95","8,506.15",3.42B,0.17%
2016年11月,"8,224.50","8,653.15","8,669.60","7,916.40",4.73B,-4.65%
2016年12月,"8,185.80","8,244.00","8,274.95","7,893.80",3.22B,-0.47%
2017年1月,"8,561.30","8,210.10","8,672.70","8,133.80",4.13B,4.59%
2017年2月,"8,879.60","8,570.35","8,982.15","8,537.50",4.53B,3.72%
2017年3月,"9,173.75","8,904.40","9,218.40","8,860.10",4.98B,3.31%
2017年4月,"9,304.05","9,220.60","9,367.15","9,075.15",3.15B,1.42%
2017年5月,"9,621.25","9,339.85","9,649.60","9,269.90",4.68B,3.41%
2017年6月,"9,520.90","9,603.55","9,709.30","9,448.75",3.67B,-1.04%
2017年7月,"10,077.10","9,587.95","10,114.85","9,543.55",3.85B,5.84%
2017年8月,"9,917.90","10,101.05","10,137.85","9,685.55",4.30B,-1.58%
2017年9月,"9,788.60","9,937.65","10,178.95","9,687.55",4.29B,-1.30%
2017年10月,"10,335.30","9,893.30","10,384.50","9,831.05",4.64B,5.59%
2017年11月,"10,226.55","10,390.35","10,490.45","10,094.00",4.79B,-1.05%
2017年12月,"10,530.70","10,263.70","10,552.40","10,033.35",3.61B,2.97%
2018年1月,"11,027.70","10,531.70","11,171.55","10,404.65",4.84B,4.72%
2018年2月,"10,492.85","11,044.55","11,117.35","10,276.30",4.53B,-4.85%
2018年3月,"10,113.70","10,479.95","10,525.50","9,951.90",4.52B,-3.61%
2018年4月,"10,739.35","10,151.65","10,759.00","10,111.30",4.95B,6.19%
2018年5月,"10,736.15","10,783.85","10,929.20","10,417.80",5.50B,-0.03%
2018年6月,"10,714.30","10,738.45","10,893.25","10,550.90",4.83B,-0.20%
2018年7月,"11,356.50","10,732.35","11,366.00","10,604.65",5.29B,5.99%
2018年8月,"11,680.50","11,359.80","11,760.20","11,234.95",5.41B,2.85%
2018年9月,"10,930.45","11,751.80","11,751.80","10,850.30",6.03B,-6.42%
2018年10月,"10,386.60","10,930.90","11,035.65","10,004.55",8.14B,-4.98%
2018年11月,"10,876.75","10,441.70","10,922.45","10,341.90",6.79B,4.72%
2018年12月,"10,862.55","10,930.70","10,985.15","10,333.85",6.74B,-0.13%
2019年1月,"10,830.95","10,881.70","10,987.45","10,583.65",7.43B,-0.29%
2019年2月,"10,792.50","10,851.35","11,118.10","10,585.65",7.46B,-0.36%
2019年3月,"11,623.90","10,842.65","11,630.35","10,817.00",6.86B,7.70%
2019年4月,"11,748.15","11,665.20","11,856.15","11,549.10",6.52B,1.07%
2019年5月,"11,922.80","11,725.55","12,041.15","11,108.30",8.65B,1.49%
2019年6月,"11,788.85","11,953.75","12,103.05","11,625.10",6.79B,-1.12%
2019年7月,"11,118.00","11,839.90","11,981.75","10,999.40",9.99B,-5.69%
2019年8月,"11,023.25","11,060.20","11,181.45","10,637.15",11.15B,-0.85%
2019年9月,"11,474.45","10,960.95","11,694.85","10,670.25",12.21B,4.09%
2019年10月,"11,877.45","11,515.40","11,945.00","11,090.15",15.62B,3.51%
2019年11月,"12,056.05","11,886.60","12,158.80","11,802.65",13.18B,1.50%
2019年12月,"12,168.45","12,137.05","12,293.90","11,832.30",12.55B,0.93%
2020年1月,"11,962.10","12,202.15","12,430.50","11,929.60",11.93B,-1.70%
2020年2月,"11,201.75","11,939.00","12,246.70","11,175.05",11.19B,-6.36%
2020年3月,"10,451.45","11,396.00","11,430.35","10,295.70",-,-6.70%
