Date,Close,Open,High,Low,Volume,Change
2017年9月,"2,519.36","2,474.42","2,519.44","2,446.55",-,1.93%
2017年10月,"2,575.26","2,521.20","2,582.98","2,520.40",-,2.22%
2017年11月,"2,647.58","2,583.21","2,657.74","2,557.45",-,2.81%
2017年12月,"2,673.61","2,645.10","2,694.97","2,605.52",-,0.98%
2018年1月,"2,823.81","2,683.73","2,872.87","2,682.36",-,5.62%
2018年2月,"2,713.83","2,816.45","2,835.96","2,532.69",-,-3.89%
2018年3月,"2,640.87","2,715.22","2,801.90","2,585.89",-,-2.69%
2018年4月,"2,648.05","2,633.45","2,717.49","2,553.80",-,0.27%
2018年5月,"2,705.27","2,643.64","2,742.24","2,594.62",-,2.16%
2018年6月,"2,718.37","2,718.70","2,791.47","2,691.99",-,0.48%
2018年7月,"2,816.29","2,704.95","2,848.03","2,698.95",-,3.60%
2018年8月,"2,901.52","2,821.17","2,916.50","2,796.34",-,3.03%
2018年9月,"2,913.98","2,896.96","2,940.91","2,864.12",-,0.43%
2018年10月,"2,711.74","2,926.29","2,939.86","2,603.54",-,-6.94%
2018年11月,"2,760.17","2,717.58","2,815.15","2,631.09",-,1.79%
2018年12月,"2,506.85","2,790.50","2,800.18","2,346.58",-,-9.18%
2019年1月,"2,704.10","2,476.96","2,708.95","2,443.96",-,7.87%
2019年2月,"2,784.49","2,702.32","2,813.49","2,681.83",-,2.97%
2019年3月,"2,834.40","2,798.22","2,860.31","2,722.27",-,1.79%
2019年4月,"2,945.83","2,848.63","2,949.52","2,848.63",-,3.93%
2019年5月,"2,752.06","2,952.33","2,954.13","2,750.52",-,-6.58%
2019年6月,"2,941.76","2,751.53","2,964.15","2,728.81",-,6.89%
2019年7月,"2,980.38","2,971.41","3,027.98","2,952.22",-,1.31%
2019年8月,"2,926.46","2,980.32","3,013.59","2,822.12",-,-1.81%
2019年9月,"2,976.74","2,909.01","3,021.99","2,891.85",-,1.72%
2019年10月,"3,037.56","2,983.69","3,050.10","2,855.94",-,2.04%
2019年11月,"3,140.98","3,050.72","3,154.26","3,050.72",-,3.40%
2019年12月,"3,230.78","3,143.85","3,247.93","3,070.33",-,2.86%
2020年1月,"3,225.52","3,244.67","3,337.77","3,214.64",-,-0.16%
2020年2月,"2,954.22","3,235.66","3,393.52","2,855.84",-,-8.41%
2020年3月,"2,746.56","2,982.50","3,137.80","2,719.38",-,-7.03%
